ticker,sector,ind,country,atr,ipo,index
"SNNA","Healthcare","Biotechnology","USA","0.10",NULL,"0"
"DOVA","Healthcare","Biotechnology","USA","0.81",NULL,"0"
"GMO","Basic Materials","Industrial Metals & Minerals","USA","0.02","2005-02-17","0"
"ENOB","Healthcare","Biotechnology","USA","0.32",NULL,"0"
"WCLD",,,,NULL,NULL,"0"
"AIRT","Services","Air Delivery & Freight Services","USA","0.63","1984-04-24","0"
"RTTR","Healthcare","Biotechnology","USA","0.13",NULL,"0"
"MOGO","Financial","Credit Services","Canada","0.26",NULL,"0"
"GTT","Technology","Diversified Communication Services","USA","0.98","2006-11-29","0"
"XLTY",,,,NULL,NULL,"0"
"CAPR","Healthcare","Biotechnology","USA","0.25",NULL,"0"
"CCRC","Services","Business Services","China","0.50",NULL,"0"
"VRCA","Healthcare","Biotechnology","USA","1.27",NULL,"0"
"IMRN","Healthcare","Biotechnology","Australia","0.31",NULL,"0"
"SMMT","Healthcare","Drug Manufacturers - Other","United Kingdom","0.06",NULL,"0"
"SNDL","Healthcare","Drug Manufacturers - Other","Canada","0.81",NULL,"0"
"VXRT","Healthcare","Biotechnology","USA","0.05",NULL,"0"
"THO","Consumer Goods","Recreational Vehicles","USA","2.15","1987-12-30","0"
"REAL","Services","Specialty Retail, Other","USA","1.46",NULL,"0"
"JFIN","Technology","Internet Information Providers","China","1.46",NULL,"0"
"AKRO","Healthcare","Biotechnology","USA","2.54",NULL,"0"
"MITO","Healthcare","Biotechnology","USA","0.67",NULL,"0"
"JAKK","Consumer Goods","Toys & Games","USA","0.11","1996-05-02","0"
"LOGC","Healthcare","Biotechnology","USA","1.43",NULL,"0"
"FORD","Consumer Goods","Textile - Apparel Footwear & Accessories","USA","0.04","1995-06-15","0"
"NK","Healthcare","Biotechnology","USA","0.08",NULL,"0"
"NTZ","Consumer Goods","Home Furnishings & Fixtures","Italy","0.17","1993-05-13","0"
"OTIC","Healthcare","Biotechnology","USA","0.09","2014-08-13","0"
"AEHR","Technology","Semiconductor Equipment & Materials","USA","0.06","1997-08-15","0"
"SGEN","Healthcare","Biotechnology","USA","2.36","2001-03-09","0"
"SWTX",,,,NULL,NULL,"0"
"CYAN","Healthcare","Biotechnology","USA","0.15","1993-06-22","0"
"MCF","Basic Materials","Independent Oil & Gas","USA","0.13","1994-04-04","0"
"SLRX","Healthcare","Biotechnology","USA","1.13",NULL,"0"
"SBPH","Healthcare","Biotechnology","USA","0.25",NULL,"0"
"JDST","Financial","Exchange Traded Fund","USA","1.59","2013-10-03","0"
"EMAN","Technology","Semiconductor Equipment & Materials","USA","0.04","2000-01-21","0"
"FSLY","Technology","Application Software","USA","3.44",NULL,"0"
"SLNG",,,,NULL,NULL,"0"
"CPST","Industrial Goods","Industrial Electrical Equipment","USA","0.04","2000-06-30","0"
"APLT","Healthcare","Biotechnology","USA","0.79",NULL,"0"
"IDRA","Healthcare","Biotechnology","USA","0.26","1996-01-25","0"
"BVSN","Technology","Internet Software & Services","USA","0.05","1996-06-21","0"
"COHN","Financial","Mortgage Investment","USA","0.31",NULL,"0"
"PATK","Industrial Goods","Lumber, Wood Production","USA","1.98","1990-03-27","0"
"JAGX","Healthcare","Biotechnology","USA","0.14",NULL,"0"
"BCEL","Healthcare","Biotechnology","USA","2.08",NULL,"0"
"DAC","Services","Shipping","Greece","0.38","2006-10-16","0"
"DTUS","Financial","Exchange Traded Fund","USA","0.57","2010-08-10","0"
"TRNX","Basic Materials","Major Integrated Oil & Gas","Netherlands","0.40","2011-02-03","0"
"USAT","Technology","Technical & System Software","USA","0.45","1999-06-07","0"
"KEG","Basic Materials","Oil & Gas Equipment & Services","USA","0.21","1992-03-17","0"
"DXYN","Industrial Goods","Textile Industrial","USA","0.13","1990-03-26","0"
"HTGM","Healthcare","Medical Laboratories & Research","USA","0.08",NULL,"0"
"IOR","Financial","REIT - Diversified","USA","0.78",NULL,"0"
"DGAZ","Financial","Exchange Traded Fund","USA","11.67","2012-02-08","0"
"HHT","Industrial Goods","General Building Materials","China","0.23",NULL,"0"
"XRF","Financial","Credit Services","China","0.07",NULL,"0"
"CMLS","Services","Broadcasting - Radio","USA","0.88","2002-04-09","0"
"CRWD","Technology","Security Software & Services","USA","6.06",NULL,"0"
"ATIF","Financial","Asset Management","China","0.25",NULL,"0"
"GNFT","Healthcare","Biotechnology","France","0.65",NULL,"0"
"OCX","Healthcare","Biotechnology","USA","0.21",NULL,"0"
"RDIB","Services","Entertainment - Diversified","USA","1.27","0000-00-00","0"
"FEIM","Technology","Communication Equipment","USA","0.35","1983-09-01","0"
"WHLM","Services","Management Services","USA","0.12","1996-07-30","0"
"JG","Technology","Application Software","China","0.23",NULL,"0"
"ELLO","Utilities","Electric Utilities","Israel","0.34","1995-10-09","0"
"ENG","Services","Technical Services","USA","0.09","1997-05-09","0"
"DLNG","Services","Shipping","Monaco","0.09","2013-11-13","0"
